ProbeID	Sample1	Sample2
1007_s_at	10.93	11.44
1053_at	8.28	7.54
117_at	3.31	3.41
121_at	4.42	4.32
1255_g_at	1.8	1.7
1294_at	2.69	2.72
1316_at	3.26	2.8
1320_at	5.54	6.19
1405_i_at	4.29	5.3
1431_at	2.19	1.99
1438_at	4.05	4.59
1487_at	7.92	7.98
1494_f_at	2.64	2.48
1552256_a_at	8.72	8.73
1552257_a_at	6.81	6.56
1552258_at	2.63	2.49
1552261_at	2.69	2.83
1552263_at	2.94	3.48
1552264_a_at	7.02	7.1
1552266_at	2.94	3.92
1552269_at	3.87	4.57
1552271_at	2.93	3.04
1552272_a_at	3.1	2.88
1552274_at	2.67	3.18
1552275_s_at	2.26	2.78
1552276_a_at	2.95	3
1552277_a_at	9.16	8.83
1552278_a_at	3.14	3.16
1552279_a_at	4.08	4.33
1552280_at	2.05	1.86
1552281_at	3.75	3.37
1552283_s_at	3.32	3.45
1552286_at	5.25	4.88
1552287_s_at	8.19	8.07
1552288_at	3.42	3.39
1552289_a_at	2.74	2.34
1552291_at	9.56	10.05
1552293_at	2.27	2.42
1552295_a_at	4.73	5.44
1552296_at	2.97	2.99
1552299_at	4.39	4.4
1552301_a_at	2.62	2.44
1552302_at	2.94	3.09
1552303_a_at	2.43	2.49
1552304_at	3.84	3.44
1552306_at	6.94	6.52
1552307_a_at	4.13	4.16
1552309_a_at	0.97	1.04
1552310_at	8.11	8.43
1552311_a_at	3.44	3.43
1552312_a_at	7.69	7.66
1552314_a_at	3.2	3.03
1552315_at	2.84	2.52
1552316_a_at	2.06	1.81
1552318_at	2.38	2.01
1552319_a_at	3.64	3
1552320_a_at	2.96	2.45
1552321_a_at	2.93	2.18
1552322_at	1.94	1.31
1552323_s_at	1.68	1.63
1552325_at	2.69	2.94
1552326_a_at	3.06	2.63
1552327_at	2.16	2.03
1552329_at	8.01	8.32
1552330_at	9.1	9.08
1552332_at	4.31	4.45
1552334_at	2.37	2.43
1552335_at	2.4	2.64
1552337_s_at	2.51	2.7
1552338_at	3.13	3.12
1552340_at	2.05	2.02
1552343_s_at	2.65	3.13
1552344_s_at	5.03	5.97
1552347_at	3.64	4.82
1552348_at	2.16	2.48
1552349_a_at	3.04	3.08
1552354_at	2.59	3.06
1552355_s_at	2.11	1.99
1552359_at	1.93	2.19
1552360_a_at	3.46	3.71
1552362_a_at	3.43	3.35
1552364_s_at	8.2	6.97
1552365_at	5.63	7.19
1552367_a_at	2.88	4.14
1552368_at	2.12	2.47
1552370_at	4.28	5.31
1552372_at	1.41	1.66
1552373_s_at	2.34	1.99
1552375_at	2.45	2.29
1552377_s_at	2.63	2.46
1552378_s_at	3.87	4.38
1552379_at	1.61	1.76
1552381_at	2.21	2.44
1552383_at	4.97	4.47
1552384_a_at	1.99	2.2
1552386_at	1.51	1.35
1552388_at	2.56	2.61
1552389_at	3.22	3.4
1552390_a_at	3.18	2.76
