ProbeID	Sample1	Sample2	Sample3	Sample4
1007_s_at	10.93	11.44	11.19	11.64
1053_at	8.28	7.54	8.06	7.32
117_at	3.31	3.41	3.13	3.13
121_at	4.42	4.32	4.46	4.63
1255_g_at	1.8	1.7	1.75	1.81
1294_at	2.69	2.72	2.37	2.57
1316_at	3.26	2.8	3.12	2.59
1320_at	5.54	6.19	4.7	4.39
1405_i_at	4.29	5.3	5.05	6.04
1431_at	2.19	1.99	2.12	2.02
1438_at	4.05	4.59	4.42	4.29
1487_at	7.92	7.98	8.24	8.65
1494_f_at	2.64	2.48	2.53	2.85
1552256_a_at	8.72	8.73	9.47	9.59
1552257_a_at	6.81	6.56	7.03	7.07
1552258_at	2.63	2.49	2.08	2.11
1552261_at	2.69	2.83	2.64	2.49
1552263_at	2.94	3.48	3.22	4.34
1552264_a_at	7.02	7.1	6.93	6.82
1552266_at	2.94	3.92	4.06	3.67
1552269_at	3.87	4.57	3.34	3.9
1552271_at	2.93	3.04	2.44	2.26
1552272_a_at	3.1	2.88	2.34	2.49
1552274_at	2.67	3.18	3.26	2.83
1552275_s_at	2.26	2.78	2.58	2.8
1552276_a_at	2.95	3	2.44	1.89
1552277_a_at	9.16	8.83	8.77	8.46
1552278_a_at	3.14	3.16	4.01	3.63
1552279_a_at	4.08	4.33	4.51	4.2
1552280_at	2.05	1.86	2.42	2.55
1552281_at	3.75	3.37	3.38	3.18
1552283_s_at	3.32	3.45	3.37	3.56
1552286_at	5.25	4.88	5.13	4.96
1552287_s_at	8.19	8.07	8.32	8.15
1552288_at	3.42	3.39	3.99	3.45
1552289_a_at	2.74	2.34	2.12	2.61
1552291_at	9.56	10.05	8.86	9.22
1552293_at	2.27	2.42	2.45	1.96
1552295_a_at	4.73	5.44	4.85	5.29
1552296_at	2.97	2.99	3.51	3.21
1552299_at	4.39	4.4	4.11	4.32
1552301_a_at	2.62	2.44	2.62	3.14
1552302_at	2.94	3.09	3.01	3.1
1552303_a_at	2.43	2.49	2.53	2.97
1552304_at	3.84	3.44	3.55	3.52
1552306_at	6.94	6.52	6.22	5.51
1552307_a_at	4.13	4.16	4.91	3.94
1552309_a_at	0.97	1.04	1.55	1.55
1552310_at	8.11	8.43	8.31	8.81
1552311_a_at	3.44	3.43	3.52	3.81
1552312_a_at	7.69	7.66	6.83	6.63
1552314_a_at	3.2	3.03	4.07	2.67
1552315_at	2.84	2.52	2.4	2.14
1552316_a_at	2.06	1.81	1.75	2.29
1552318_at	2.38	2.01	2.08	2.63
1552319_a_at	3.64	3	2.53	2.83
1552320_a_at	2.96	2.45	2.11	3.12
1552321_a_at	2.93	2.18	2.06	2.13
1552322_at	1.94	1.31	1.57	1.87
1552323_s_at	1.68	1.63	2.11	2.34
1552325_at	2.69	2.94	3.07	3.33
1552326_a_at	3.06	2.63	1.76	2.29
1552327_at	2.16	2.03	2.3	1.99
1552329_at	8.01	8.32	8.1	8.31
1552330_at	9.1	9.08	8.76	8.79
1552332_at	4.31	4.45	3.91	3.66
1552334_at	2.37	2.43	2.33	2.51
1552335_at	2.4	2.64	3.16	2.74
1552337_s_at	2.51	2.7	2.28	2.49
1552338_at	3.13	3.12	3.12	2.97
1552340_at	2.05	2.02	2.29	2.16
1552343_s_at	2.65	3.13	3.52	2.84
1552344_s_at	5.03	5.97	5.96	5.8
1552347_at	3.64	4.82	3.82	3.78
1552348_at	2.16	2.48	2.13	2.2
1552349_a_at	3.04	3.08	2.13	2.23
1552354_at	2.59	3.06	2.89	2.82
1552355_s_at	2.11	1.99	1.85	1.69
1552359_at	1.93	2.19	2.07	2.5
1552360_a_at	3.46	3.71	4.13	4.63
1552362_a_at	3.43	3.35	3.85	3.2
1552364_s_at	8.2	6.97	7.94	7.79
1552365_at	5.63	7.19	5.66	6.82
1552367_a_at	2.88	4.14	4.37	5.12
1552368_at	2.12	2.47	2.06	2.39
1552370_at	4.28	5.31	4.93	5.48
1552372_at	1.41	1.66	2.13	2.45
1552373_s_at	2.34	1.99	2.68	2.17
1552375_at	2.45	2.29	2.22	2.53
1552377_s_at	2.63	2.46	2.62	2.03
1552378_s_at	3.87	4.38	4.29	5.33
1552379_at	1.61	1.76	1.91	2.13
1552381_at	2.21	2.44	1.9	2.41
1552383_at	4.97	4.47	3.33	2.71
1552384_a_at	1.99	2.2	1.95	1.81
1552386_at	1.51	1.35	2.06	2.17
1552388_at	2.56	2.61	2.29	2.41
1552389_at	3.22	3.4	3.15	2.78
1552390_a_at	3.18	2.76	2.67	3.05
